idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
10266,ESPONJA MULTIUSO L4,F,9999,9999,9999,GERAL,GERAL,GERAL
10150,ESPONJA MULTIUSO L4 PG3 BRILHUS BETTANIN,F,9999,9999,9999,GERAL,GERAL,GERAL
10262,GRAMPEADOR EAGLE 208,F,9999,9999,9999,GERAL,GERAL,GERAL
10071,INSETICIDA 380ML SBP,F,9999,9999,9999,GERAL,GERAL,GERAL
10081,LIMPADOR PERFUMADO 500ML CASA E PERFUME,F,9999,9999,9999,GERAL,GERAL,GERAL
10146,LIMPADOR PERFUMES NAT 500ML LAVANDA VEJA,F,9999,9999,9999,GERAL,GERAL,GERAL
1000016,MANUTENCAO,F,9999,9999,9999,GERAL,GERAL,GERAL
1000010,MATERIAL USO E CONSUMO,F,9999,9999,9999,GERAL,GERAL,GERAL
10053,MULTI USO TRADICIONAL 500ML VEJA,F,9999,9999,9999,GERAL,GERAL,GERAL
10142,MULTIUSO TRAD.500ML VEJA,F,9999,9999,9999,GERAL,GERAL,GERAL
10282,ODORIZADOR,F,9999,9999,9999,GERAL,GERAL,GERAL
10154,PANO DE CHAO 100% ALGODAO 45 X 70 78GR,F,9999,9999,9999,GERAL,GERAL,GERAL
10043,PANO DE CHÃO 100% ALGODÃO 45X70 78GRLL9,F,9999,9999,9999,GERAL,GERAL,GERAL
10272,PANO DE CHAO 45 X 70,F,9999,9999,9999,GERAL,GERAL,GERAL
10152,"PANO MULTIUSO ROLO AZ 0,28X300M PICOTADO",F,9999,9999,9999,GERAL,GERAL,GERAL
10073,PAPALE TOALHA INTERF 20X21 BRLUXO PAPELEX,F,9999,9999,9999,GERAL,GERAL,GERAL
10144,PAPEL CHAMEX A4 OFFICE 210 X 297 75G C/500,F,9999,9999,9999,GERAL,GERAL,GERAL
10037,PAPEL CHAMEX A4 OFFICE 210X297 75G C/500,F,9999,9999,9999,GERAL,GERAL,GERAL
10047,PAPEL HIG ROLÃO FSIMPLES 8X300 LUXO NOBRE,F,9999,9999,9999,GERAL,GERAL,GERAL
1000001,PRODUTO GERAL,F,9999,9999,9999,GERAL,GERAL,GERAL
10075,SABONETE 5L ERVA DOCE PREMISSE,F,9999,9999,9999,GERAL,GERAL,GERAL
10268,SABONETE LIQUIDO 5 LITROS,F,9999,9999,9999,GERAL,GERAL,GERAL
10260,SACO DE LIXO 100 PESADO COM 100,F,9999,9999,9999,GERAL,GERAL,GERAL
10274,SACO DE LIXO 60 LITROS,F,9999,9999,9999,GERAL,GERAL,GERAL
10156,SACO DE LIXO 60 LTS C/100 50 X60X03,F,9999,9999,9999,GERAL,GERAL,GERAL
1000018,SERVICOS,F,9999,9999,9999,GERAL,GERAL,GERAL
1000002,TAXA DE ENTREGA,F,9999,9999,9999,GERAL,GERAL,GERAL
10276,TECLADO USB GAME,F,9999,9999,9999,GERAL,GERAL,GERAL
10148,TELEFONE FIO PLENO PRETO INTELBRAS,F,9999,9999,9999,GERAL,GERAL,GERAL
3658,"TUBO 12"" C/ COSTURA SCH40 X 6M",F,9999,9999,9999,GERAL,GERAL,GERAL
