idsubproduto,descricaoproduto
1046,BROCA DE ACO RAPIDO (13) - 1/4 *
1047,BROCA DE ACO RAPIDO (14) - 17/64 *
1048,BROCA DE ACO RAPIDO (15) - 9/32 *
1049,BROCA DE ACO RAPIDO (16) - 19/64 *
1050,BROCA DE ACO RAPIDO (17) - 5/16 *
1051,BROCA DE ACO RAPIDO (18) - 21/64 *
1052,BROCA DE ACO RAPIDO (19) - 11/32 *
1053,BROCA DE ACO RAPIDO (20) - 23/64 *
1054,BROCA DE ACO RAPIDO (21) - 3/8 *
1055,BROCA DE ACO RAPIDO (22) - 13/32 *
1056,BROCA DE ACO RAPIDO (23) - 7/16 *
1057,BROCA DE ACO RAPIDO (24) - 15/32 *
1058,BROCA DE ACO RAPIDO (25) - 1/2 *
1024,BROCA DE ACO RAPIDO (26) - 33/64 (13MM) *
1769,BROCA ENC SDS PLUS CONC 100/160 X 10MM *
6187,BROCA ENC SDS PLUS CONC 216 / 300 X 12 MM
10019,BROCA ESCALONADA CONE  4 A 32  MM AR
10015,BROCA ESCALONADA CONE DE 4 A 12 MM AR
10017,BROCA ESCALONADA DE 4 A 20MM AR
2002,BROCA FIBROCIMENTO E MOURAO 19/64 *
3358,ESTOJO DE BROCA ACO RAPIDO 07 PCS * IRWIN 1865290
507,ESTOJO DE BROCA BROCAS 09 PCS *
10021,JOGO 6 BROCAS PERFURA E FAZ ROSCA M3/4/5/6/8/10MM
11751,KIT BROCA ESCALONADA CONE DE 4 A 12 MM AR
10662,KIT COM 10 PONTAS MONTADAS
10664,KIT COM 5 PONTAS MONTADAS
6098,KIT DE BROCAS E BITS - XLINE C/ 33 UNIDADES
10208,PONTA HEXAGONAL BIT 3/16
11399,ESCOVA CIRCULAR  ACO CARBONO OND. 6'X1'' GUEPAR
478,ESCOVA DE ACO C/ CABO
4550,ESCOVA DE ACO CIRCULAR ONDULADA 4 X 1/2 X 1/2 *
4551,ESCOVA DE ACO CIRCULAR ONDULADA 6 X 1/2 X 1/2 A 1.1/4 *
2280,ESCOVA DE ACO CIRCULAR TRANCADO 4.1/2 X 7/8 *
12055,ESCOVA DE ACO CONICA ONDULADA 4'' 100MM *
10298,ESCOVA DE ACO CONICA TRANCADA 4''
3527,ESCOVA DE ACO COPO ONDULADA 3'' *
477,ESCOVA DE ACO COPO TORCIDA 3'' *
482,ESCOVA DE ACO DE MADEIRA S/ CABO
1957,AGULHEIRO P/ LIMPAR BICOS *
10570,"ALAVANCA PONTA E PA 1''X1,5M CURVA"
10796,ALICATE 6'' DE BICO HOBBY - BESTFER
10790,ALICATE 6'' DE CORTE DIAGONAL
10792,ALICATE 6'' DE CORTE DIAGONAL -  BESTFER
10794,ALICATE 7'' CORTE DIAGONAL C/ ALIVIO DE FORÇA 7.1/2 BESTFER
10786,ALICATE 8'' UNIVERSAL AC POLIDO- BESTFER
10788,ALICATE 8'' UNIVERSAL C/ ALIVIO DE FORÇA - BESTFER
10784,ALICATE 8'' UNIVERSAL HOBBY - BESTFER
12049,ALICATE 9'' UNIVERSAL MULTFUNCAO - BESTFER
3308,ALICATE AMPERIMETRO DIGITAL *
3121,ALICATE BOMBA D'AGUA 10'' *
10806,ALICATE BOMBA D'AGUA 12'' - - BESTFER
3716,ALICATE DE BICO 6'' * IRWIN 1864035
5993,ALICATE DE BICO MEIA CANA 6''
3749,"ALICATE DE BICO MEIA CURVO 6"""
3254,ALICATE DE CORTE DIAGONAL 6''
10804,ALICATE DE PRESSAO 10'' CURVO
11653,ALICATE DE PRESSAO 10'' CURVO CRV 03 PONTOS BESTFER
5599,ALICATE PRESSAO 10'' *
5647,ALICATE REBITADOR 04 BICOS *
2149,ALICATE REBITADOR ALAVANCA
3312,ALICATE REBITADOR IRWIN R 100 *
1298,ALICATE REBITADOR P/ FITA JOCEC *
4530,ALICATE REBITADOR POP NUT PNT 110 *
11497,ALICATE REBITADOR PROFISSIONAL 4 BICOS - IRWIN
5676,"ALICATE UNIVERSAL 8"" *"
4055,"ALICATE UNIVERSAL IRWIN 8"" CHROME VANADIUM *"
3918,ALMOTOLIA 285 CC *
418,ANCINHO C/ 12 DENTES S/ CABO *
3661,ANCINHO C/ 14 DENTES C/ CABO *
423,APLICADOR DE MASSA *
5919,APLICADOR P/ CHUMBADOR QUIMICO 380ML *
1033,APLICADOR P/ SILICONE *
1780,APLICADOR P/ SILICONE REFORCADO *
10838,ARCO DE SERRA MINI 10'' - BESTFER
10836,ARCO DE SERRA REGULAVEL 12'' - BESTFER
439,ARCO DE SERRA STANLEY 15-098 PROF*
5709,ARCO DE SERRA STANLEY 15200 *
426,ARCO DE SERRA STANLEY 15-555 PROF *
440,"ARCO DE SERRA STARRET BS 12"" ARCO 140 *"
1272,ARCO DE SERRA STARRET TUB 300/149 *
10844,CANIVETE CAMPING MADEIRA - BESTFER
5957,CARRINHO DE MAO CHAPA WORK
5962,CARRINHO DE MAO EXTRAFORTE CAMARA 65LT TRAMONTINA
12033,CARRINHO DE MAO MAESTRO MASTER
5958,CARRINHO DE MAO POP P. MACICO METALOSA *
123133454,CARRINHO DE MAO SOLDADO 55LT 16
5964,CARRO DE CARGA 150KG P. CAMARA 15A *
291,CAVADEIRA ARTICULADA 2 CABOS
123133438,"CAVADEIRA BOLA 3/4 X 1,50 *"
10818,CHAVE AJUSTAVEL AC CB EMB 10'' - BESTFER
1228,CHAVE BIELA L 10 *
1229,CHAVE BIELA L 11 *
1230,CHAVE BIELA L 12 *
1231,CHAVE BIELA L 13 *
1232,CHAVE BIELA L 14 *
1233,CHAVE BIELA L 15 *
1234,CHAVE BIELA L 16 *
1235,CHAVE BIELA L 17 *
1236,CHAVE BIELA L 19 *
1227,CHAVE BIELA L 8 *
94,CHAVE COMBINADA - 10 MM *
322,CHAVE DE FENDA - 1/4 X 4 *
299,CHAVE DE FENDA - 1/8 X 4'' *
327,CHAVE DE FENDA - 3/16 X 4
359,CHAVE DE FENDA - 5/16 X 4 *
174,CHAVE DE GRIFO 10'' *
117,CHAVE ESTRELA - 10 X 11 MM *
118,CHAVE ESTRELA - 12 X 13 MM *
