idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
3007,TAMPAO EXTERNO (ROSCA INTERNA) GALV 1.1/4'' ( CAP GALV ) *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3008,TAMPAO EXTERNO (ROSCA INTERNA) GALV 1/2'' ( CAP GALV ) *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3009,TAMPAO EXTERNO (ROSCA INTERNA) GALV 2'' ( CAP GALV ) *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3010,TAMPAO EXTERNO (ROSCA INTERNA) GALV 3/4 ( CAP GALV ) *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2999,"TAMPAO INTERNO (ROSCA EXTERNA) GALV 1"" ( PLUG OU BUJÃO ) *",F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3000,TAMPAO INTERNO (ROSCA EXTERNA) GALV 1.1/2 ( PLUG OU BUJÃO ),F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3002,TAMPAO INTERNO (ROSCA EXTERNA) GALV 1/2 ( PLUG OU BUJÃO ) *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3003,"TAMPAO INTERNO (ROSCA EXTERNA) GALV 2"" ( PLUG OU BUJÃO ) *",F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3004,TAMPAO INTERNO (ROSCA EXTERNA) GALV 3/4'' ( PLUG OU BUJÃO ),F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2985,TEE GALVANIZADO 1'' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2986,TEE GALVANIZADO 1.1/2 '' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2987,TEE GALVANIZADO 1.1/4 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2989,TEE GALVANIZADO 1/2'' 90 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2350,TEE GALVANIZADO 2'' REMADI *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2990,TEE GALVANIZADO 2.1/2 '' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2992,TEE GALVANIZADO 3/4'' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2988,TEE GALVANIZADO 45' 1/2 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2991,TEE GALVANIZADO 45' 3/4 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2993,UNIAO GALVANIZADO 1'' H MECH *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2994,UNIAO GALVANIZADO 1.1/2 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2995,UNIAO GALVANIZADO 1.1/4 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2996,UNIAO GALVANIZADO 1/2'' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2997,UNIAO GALVANIZADO 2'' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1799,UNIAO GALVANIZADO 2.1/2'' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2998,UNIAO GALVANIZADO 3/4'' *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1855,FF CANTONEIRA FERRO FUNDIDO 16 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1146,FF CANTONEIRA FERRO FUNDIDO 20 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
