idsubproduto,nome_produto,n_lacunas,lacunas
11153,INVERSOR ESAB BANTAM 3.2 BIVOLT,4,especificacao_tecnica;pagina_web;manual;fotos
1116,ZARCAO SOLVENTEX 1/4 551 CINZA *,4,especificacao_tecnica;pagina_web;manual;fotos
11169,"ESMALTE EPOXI CINZA CLARO N6,5  2,7L  - AFETINTAS",4,especificacao_tecnica;pagina_web;manual;fotos
1117,ZARCAO SOLVENTEX 969 PRETO 1/4 *,4,especificacao_tecnica;pagina_web;manual;fotos
11201,COMBO GSR 120-LI+GDR 120-LI+MALETA 2B,4,especificacao_tecnica;pagina_web;manual;fotos
11235,COMBO TOUCH145 220V + OPTIARC 70 - MOSTRUÁRIO,4,especificacao_tecnica;pagina_web;manual;fotos
11297,SILICONE PU FLEX 40 CINZA  - SILVA,4,especificacao_tecnica;pagina_web;manual;fotos
11301,SILICONE PU ALUZINCO CINZA - SILVA,4,especificacao_tecnica;pagina_web;manual;fotos
11313,ESCADA DOMESTICA ALUMINIO BFG PRO 7DEG 0027,4,especificacao_tecnica;pagina_web;manual;fotos
11315,ESCADA DOMESTICA ALUMINIO BFG PRO 6DEG 0026,4,especificacao_tecnica;pagina_web;manual;fotos
11321,MACARICO PORTATIL 5 IT BR TORCH,4,especificacao_tecnica;pagina_web;manual;fotos
